NAME YEAR DOY YYYY-MM-DD TYPE
JOZE 2018 284 2018-10-11 RSFYAsl
JOZE 2020 170 2020-06-18 RSI
JOZE 2020 212 2020-07-30 RS
JPLM 1991 303 1991-10-30 RSF
JPLM 1991 336 1991-12-02 RSF
JPLM 1994 165 1994-06-14 RSFAsaui
JPLM 1995 152 1995-06-01 RS
JPLM 1995 202 1995-07-21 RS
JPLM 1995 206 1995-07-25 RS
JPLM 1999 194 1999-07-13 RSF
JPLM 2012 255 2012-09-11 RSFYI
JPLM 2018 338 2018-12-04 RSFCY
JPLV 2012 193 2012-07-11 RSFI
KARR 1999 340 1999-12-06 RSF
KARR 2000 165 2000-06-13 RSF
KARR 2001 242 2001-08-30 RSF
KARR 2001 268 2001-09-25 RSF
KARR 2001 292 2001-10-19 RSF
KARR 2001 300 2001-10-27 RS
KARR 2003 154 2003-06-03 RSFI
KARR 2010 138 2010-05-18 RSFYI
KARR 2010 139 2010-05-19 AsDuil
KARR 2013 254 2013-09-11 RSFYsil
KARR 2021 336 2021-12-02 RSFYI
KARR 2023 186 2023-07-05 Asul
KAT1 2016 293 2016-10-19 RSFYI
KELY 2001 257 2001-09-14 RSFAsDu
KELY 2010 159 2010-06-08 RSFI
KELY 2017 341 2017-12-07 RSFCYI
KELY 2018 210 2018-07-29 RSFCYAsD
KELY 2020 240 2020-08-27 RSFY
KERG 1999 090 1999-03-31 RSFAsi
KERG 2004 012 2004-01-12 RSFC
KERG 2008 249 2008-09-05 AsDl
KERG 2011 194 2011-07-13 RSFY
KERG 2011 200 2011-07-19 RSFY
KERG 2012 017 2012-01-17 RSFY
KERG 2023 017 2023-01-17 RSFY
KGNI 1997 255 1997-09-12 Asi
KGNI 2001 022 2001-01-22 AsD
KGNI 2008 112 2008-04-21 RSF
KGNI 2021 291 2021-10-18 RSFYAs
KHAJ 2999 001 2999-01-01 RSFC
KHAR 2008 308 2008-11-03 RSFCY
KHAR 2008 317 2008-11-12 Asal
KIR0 1993 213 1993-08-01 RSF
KIR0 1995 072 1995-03-13 AD
KIR0 1995 191 1995-07-10 AD
KIR0 1996 212 1996-07-30 AD
KIR0 1996 304 1996-10-30 FAD
KIR0 2001 239 2001-08-27 RSF
KIR0 2003 231 2003-08-19 RSFYI
KIR0 2007 348 2007-12-14 RS
KIR0 2015 061 2015-03-02 RSF
KIR0 2016 236 2016-08-23 As
KIR0 2018 180 2018-06-29 RSF
KIR0 2019 051 2019-02-20 RSFY
KIR0 2023 290 2023-10-17 Asi
KIRI 2011 323 2011-11-19 RSFY
KIRI 2011 324 2011-11-20 AsDu
KIRI 2022 084 2022-03-25 RSFY
KIRU 2000 262 2000-09-18 RSFAs
KIRU 2003 071 2003-03-12 RSFAD
KIRU 2013 050 2013-02-19 RSFYAsDau
KIRU 2019 316 2019-11-12 RSFAsau
KIRU 2023 107 2023-04-17 RSF
KIT3 1999 328 1999-11-24 RSFCs
