name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
BISK 2019-01-09 2019-01-13  +0.5447  +0.7105  +0.0228  +0.0171   383   686  -5.8159  6.030e-09     1
BJCO 2010-03-15 2010-03-24  +0.9156  +0.9623  +0.0706  +0.0339   323  1395  -0.5962  5.511e-01     0
BJCO 2014-12-25 2015-01-03  +0.9623  +1.2015  +0.0339  +0.0528  1395   572  -3.8145  1.365e-04     1
BJCO 2017-12-22 2017-12-27  +1.0186  +1.0593  +0.1036  +0.1102   125   155  -0.2690  7.879e-01     0
BJCO 2018-12-01 2018-12-27  +1.0593  +1.5853  +0.1102  +0.1566   155    78  -2.7461  6.031e-03     1
BJFS 2000-12-06 2000-12-08  +1.0300  +0.8364  +0.0592  +0.0340    62    67  +2.8352  4.579e-03     1
BJFS 2001-02-19 2001-02-21  +0.8364  +1.0762  +0.0340  +0.0555    67   145  -3.6855  2.282e-04     1
BJFS 2001-08-06 2001-08-12  +1.0762  +1.7312  +0.0555  +0.0785   145    80  -6.8148  9.439e-12     1
BJFS 2001-11-24 2002-01-18  +1.7312  +0.8969  +0.0785  +0.0224    80   365 +10.2231  1.563e-24     1
BJFS 2003-03-22 2003-03-31  +0.8969  +1.2210  +0.0224  +0.0407   365   205  -6.9760  3.037e-12     1
BJFS 2005-02-14 2005-02-26  +0.7662  +0.8103  +0.0223  +0.0199   370   604  -1.4730  1.407e-01     0
BJFS 2013-02-23 2013-02-27  +0.0811  +0.2506  +0.0150  +0.0196   779   597  -6.8694  6.446e-12     1
BJFS 2018-03-12 2018-03-14  +0.0283  +0.1266  +0.0153  +0.0199   918   580  -3.9091  9.263e-05     1
BJFS 2025-08-21 2025-09-21  +0.2589  +0.3103  +0.0109  +0.0407  1752    87  -1.2218  2.218e-01     0
BJNM 2014-01-02 2014-02-25       NA  +0.5986       NA  +0.0317    NA   270       NA         NA    NA
BJNM 2015-01-02 2015-01-28  +0.5986  +0.3167  +0.0317  +0.0343   270   219  +6.0370  1.570e-09     1
BJNM 2015-12-05 2015-12-26  +0.3167  +0.5423  +0.0343  +0.0320   219    78  -4.8108  1.503e-06     1
BJNM 2016-03-18 2016-03-21  +0.5423  +0.4928  +0.0320  +0.0433    78   237  +0.9185  3.584e-01     0
BJNM 2016-12-02 2017-01-04  +0.4928  +0.5514  +0.0433  +0.0237   237   190  -1.1863  2.355e-01     0
BJNM 2018-03-12 2018-03-14  +0.5514  +0.6722  +0.0237  +0.0205   190   400  -3.8618  1.126e-04     1
BNDY 2022-09-11 2022-09-11  -0.1098  +0.0487  +0.0152  +0.0287  4104  1161  -4.8799  1.061e-06     1
BOAV 2014-12-02 2014-12-06  +0.3863  +0.1935  +0.0580  +0.0748   311   171  +2.0375  4.160e-02     1
BOAV 2023-09-28 2023-10-16  -0.7872  -0.7332  +0.0599  +0.1269   264    57  -0.3851  7.002e-01     0
BOAV 2023-12-27 2024-02-05  -0.7332  -0.3750  +0.1269  +0.0860    57   144  -2.3360  1.949e-02     1
BOAV 2024-08-19 2024-11-11  -0.3750  +0.1752  +0.0860  +0.1114   144    61  -3.9100  9.229e-05     1
BOAV 2025-01-13 2025-01-24  +0.1752  -0.5228  +0.1114  +0.0735    61   198  +5.2328  1.670e-07     1
BOGO 2016-02-17 2016-02-22  +0.1818  +0.0663  +0.0174  +0.0262   482   285  +3.6775  2.356e-04     1
BOGO 2020-12-14 2020-12-23  +0.4796  +0.3305  +0.0116  +0.0238  1234   301  +5.6204  1.905e-08     1
BOGO 2021-10-28 2021-11-21  +0.3305  +0.3557  +0.0238  +0.0137   301   795  -0.9167  3.593e-01     0
BOGT 1994-11-05 1995-07-02       NA  +0.3031       NA  +0.0610    NA   138       NA         NA    NA
BOGT 1996-11-19 1997-01-16  +0.3031  +0.1340  +0.0610  +0.0750   138   112  +1.7496  8.019e-02     0
BOGT 1998-11-11 1999-02-26  -0.8654  -0.3787  +0.0880  +0.0969    59    51  -3.7176  2.011e-04     1
BOGT 2002-05-29 2002-06-07  -0.3787  -0.5300  +0.0969  +0.0640    51   119  +1.3031  1.925e-01     0
BOGT 2002-10-28 2002-11-10  -0.5300  -0.7694  +0.0640  +0.0426   119   313  +3.1158  1.834e-03     1
BOGT 2003-12-29 2004-01-20  -0.7694  -1.3772  +0.0426  +0.1008   313    79  +5.5566  2.750e-08     1
BOGT 2004-04-12 2004-06-22  -1.3772  -0.7753  +0.1008  +0.0648    79   115  -5.0235  5.074e-07     1
BOGT 2004-10-20 2004-10-26  -0.7753  -0.0658  +0.0648  +0.0992   115    68  -5.9861  2.149e-09     1
BOGT 2005-05-10 2005-06-04  -1.3290  -1.0603  +0.0918  +0.0648    90   117  -2.3899  1.685e-02     1
BOGT 2008-01-29 2008-02-04  -0.5021  -0.9665  +0.0274  +0.0463   779   258  +8.6432  5.468e-18     1
BOR1 1996-04-22 1996-04-23  +0.5226  +0.6142  +0.0182  +0.0189   553   627  -3.4848  4.925e-04     1
BOR1 1998-02-05 1998-02-13  +0.6142  +0.7445  +0.0189  +0.0240   627   362  -4.2654  1.995e-05     1
